SUBD_DESC,median_price,n_parcels,median_size,median_dur_owned
104 WEST PARRISH ST CONDO,0,1,0.065,
111 ORANGE CONDOS,0,3,0,6.55068493150685
119 WEST MAIN ST CONDOS,0,4,0,4.96986301369863
124 EAST MAIN ST CONDOS,434000,4,0,
14 CONSULTANT PL A CONDO,0,1,0.502,
1738 HILLANDALE RD EXC SU,0,3,0,8.87671232876712
213 WEST MAIN ST CONDOS,0,1,0.111,37.4054794520548
3200 CONDOMINIUM OFC PRK,0,1,5.985,34.6465753424658
3215 GUESS RD SQ OFC CD,30000,25,0,19.0986301369863
327-329 CONDO GRP------U1,0,1,0.041,10.0602739726027
327-329 CONDO GRP------U2,87500,1,0.042,21.0712328767123
353 WEST MAIN ST CONDOS,205000,4,0,11.3876712328767
3805 UNIVERSITY DR CONDO,73000,11,0,14.8397260273973
4-S @ RENAISSANCE PH01/SF,328500,52,0.1765,4.29041095890411
4-S @ RENAISSANCE PH01/TW,222500,55,0.082,4.72054794520548
4-S @ RENAISSANCE/PH01/4E,248500,9,0.096,5.12191780821918
400 CRUTCHFIELD PLC CD,130000,7,0,13.0178082191781
400 HUNT ST/THE BRANNAN,0,1,0.268,3.36164383561644
5-OAKS LAKESDE P-01 S-02,195000,19,0.391,6.46438356164384
5-OAKS LAKESDE P1,125500,7,0.144,13.6246575342466
5-OAKS LAKESDE P1 S2,127250,26,0.064,17.7260273972603
5-OAKS LAKESDE P2,139500,8,0.137,23.4027397260274
5-OAKS LAKESDE P2 S2,0,9,0.064,18.3917808219178
5-OAKS LAKESDE P3,111000,8,0.0935,22.4315068493151
5-OAKS LAKESDE P4,126000,7,0.075,23.4027397260274
5-OAKS LAKESDE P5,135000,13,0.058,6.8027397260274
5-OAKS LAKESDE P6,127000,13,0.077,23.4027397260274
5-OAKS LAKESDE P7,122250,12,0.062,23.4027397260274
5-OAKS LAKESDE P8,124000,13,0.066,9.20684931506849
5-OAKS LAKESDE S2 P14,0,17,0.066,23.4027397260274
5-OAKS LAKESDE S2 P15,145000,3,0.082,12.3109589041096
5-OAKS LAKESDE S2 P15/6 R,132000,13,0.066,7.55068493150685
5-OAKS LAKESDE S2 P16,127500,3,0.075,7.04109589041096
5-OAKS LAKESDE S2 P17,126000,7,0.082,23.4027397260274
5-OAKS LAKESDE S2 P18,0,5,0.072,23.4027397260274
5-OAKS LAKESDE S3,119000,12,0.066,23.4027397260274
5-OAKS LAKESDE S3 P01 PUD,127500,59,0.049,7.05479452054795
5-OAKS OFFICE CONDOS,1250000,11,0,
5-POINTS CONDO,25000,7,0,1.53972602739726
5766 LUMLEY ROAD,10992500,77,0.052,
ACADEMY CENTER CD,1025000,10,0,
ACADEMY RIDGE,563000,5,0.468,15.8027397260274
ACORN RDG,0,13,2.337,23.4027397260274
ADIAS HLS,262000,6,0.6215,14.3479452054795
ADLETT PARK,150000,36,0.321,12.3794520547945
AKENATZY SETTLEMENT,32000,25,0.774,23.0630136986301
ALBRIGHT HEIGHTS,19000,5,0.101,18.1287671232877
ALEXANDER XING P-01,198500,41,0.228,11.5465753424658
ALEXANDER XING P-02,218000,26,0.212,5.67808219178082
ALEXANDER XING P-03&04,229000,53,0.216,8.58219178082192
ALLEN WOOD,0,12,0.1975,19.6095890410959
ALLENTON REALTY CO,65000,4,0.264,13.3849315068493
ALPINE VLG,0,23,0.523,23.4027397260274
ALSTON HGHTS,0,15,0.499,7.74657534246575
ALSTON HGHTS SEC 01,0,18,0.1895,6.63013698630137
ALSTON HGHTS SEC 02,0,10,0.159,18.2164383561644
ALSTON HGHTS SEC 03,0,19,0.151,23.4027397260274
ALSTON HGHTS SEC 04,32500,12,0.14,18.641095890411
ALSTON HGHTS SEC 05,0,8,0.1395,18.4
ALSTON TECHNICAL PARK,234000,5,6.658,22.2356164383562
ALTA VISTA,5000,43,0.172,9.51780821917808
AMBERLYNN VLY PH 01----TW,112000,41,0.03,15.2246575342466
AMBERLYNN VLY PH 01B---SF,137500,4,0.052,
AMBERLYNN VLY PH 01B---TW,114000,23,0.029,4.05753424657534
AMBERLYNN VLY PH 02A---TW,120500,35,0.028,9.21917808219178
AMBERLYNN VLY PH 02B---TW,87000,28,0.027,1.13972602739726
AMERICAN TOB PH 2/RDV,1033000,7,0.773,6.70684931506849
AMERICAN TOB PH 3,0,7,1.444,13.0657534246575
AMERICAN TOBACCO TRAIL,14000,2,2.67,11.3945205479452
AMERICAN VLG SEC 04,205000,17,0.457,23.4027397260274
AMERICAN VLG SEC 05-A,179000,13,0.518,22.8109589041096
AMERICAN VLG SEC 05-B,77500,12,0.5385,3.95890410958904
AMERICAN VLG SEC 05-C,160000,19,0.447,23.4027397260274
AMERICAN VLG SEC 06,193250,10,0.5235,5.61369863013699
AMERICAN VLG SEC 07-A,0,6,0.39,16.5506849315069
AMERICAN VLG SEC 07-B,218000,9,0.456,13.1205479452055
AMERICAN VLG SEC 07-C,250000,3,0.37,11.972602739726
AMERICAN VLG SEC 07-D,271500,9,0.435,23.4027397260274
AMERICAN VLG SEC 08-A,217000,12,0.3785,14.5054794520548
AMERICAN VLG SEC 08-B,40000,12,0.4315,14.9630136986301
AMERICAN VLG SEC 08-C,187000,19,0.474,20.1232876712329
AMERICAN VLG SEC 09,184000,22,0.373,9.46164383561644
AMERICAN VLG SEC 10-A,167000,7,0.576,22.8068493150685
AMERICAN VLG SEC 10-B,87500,14,0.4675,23.4027397260274
AMERICAN VLG SEC 10-C,167000,18,0.4,23.0438356164384
AMERICAN VLG SEC 10-D,117000,6,0.51,23.4027397260274
AMERICAN VLG SEC 10-E,214000,9,0.469,6.46849315068493
AMERICAN VLG SEC 10-F,0,8,0.558,23.4027397260274
AMERICAN VLG SEC 11,235250,30,0.3455,16.686301369863
AMERICAN VLG SEC 12,234500,14,0.334,9.7972602739726
AMERICAN VLG SEC 13,0,14,0.308,12.4767123287671
AMERICAN VLG SEC 14,2e+05,13,0.344,14.5150684931507
AMERICAN VLG/COLONY P-1,407500,31,0.402,7.29041095890411
AMERICAN VLG/COLONY P-2,405000,29,0.4,5.52876712328767
AMERICAN VLG/COLONY P-3&4,377000,35,0.41,9.37808219178082
AMERICAN VLG/GRNWAY P-1A,320000,24,0.47,19.9808219178082
AMERICAN VLG/GRNWAY P-1B,332000,28,0.4325,6.46164383561644
AMHURST,72500,24,0.6445,23.4027397260274
AMHURST SEC 2,238500,20,0.584,11.786301369863
ANDERA HGHTS BLK B,0,9,0.29,23.4027397260274
ANDREWS CHAPEL DEV,0,14,0.819,19.4
ANDREWS CHAPEL/PH 1A-1B,296750,72,0.0695,1.66301369863014
ANDREWS CHAPEL/PH 2A,385000,61,0.143,2.03972602739726
ANDREWS CHAPEL/PH 2B,385500,18,0.138,1.87945205479452
ANDREWS CHAPEL/PH 3A,311000,49,0.053,1.05205479452055
ANDREWS CHAPEL/PH 3B,325000,43,0.057,0.789041095890411
ANDREWS CHAPEL/PH 3C,0,12,0.0565,
ANDREWS CHAPEL/PH 5A,0,15,0.145,0.304109589041096
ANDREWS CHAPEL/PH 5B,417250,42,0.129,2.03013698630137
ANGLE PRK,125500,16,0.4695,5.88767123287671
ARBOR PNT TW/01-06,174000,6,0.055,5.22465753424658
ARBOR PNT TW/07-09 35-40,184000,9,0.051,13.2164383561644
ARBOR PNT TW/10-13 22-24,165750,12,0.055,5.29041095890411
ARBOR PNT TW/25-34,159000,9,0.05,4.7013698630137
ARBOR PNT TW/41-46,195500,5,0.068,3.21095890410959
ARBORFIELD,176000,53,0.199,16.0986301369863
ARBORSTONE,640000,31,0.259,
ARCHDALE,0,84,0.2765,17.6767123287671
